Isotope,Energy,Intensity,Half life (s),Half life (m),half life (h),half life (d)
44TI,0.4,0.34,1893460000.0,31557666.666666668,525961.1111111111,21915.046296296296
48V,0.45,0.16,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
49V,0.45,0.31,28512000.0,475200.0,7920.0,330.0
40K,2.955,0.29,3.93839e+16,656398333333333.4,10939972222222.223,455832175925.9259
40K,2.957,0.59,3.93839e+16,656398333333333.4,10939972222222.223,455832175925.9259
44SC,3.688,0.246,14292.0,238.2,3.97,0.16541666666666666
43SC,3.688,0.53,14007.6,233.46,3.891,0.162125
44SC,3.692,0.488,14292.0,238.2,3.97,0.16541666666666666
43SC,3.692,1.05,14007.6,233.46,3.891,0.162125
43SC,4.013,0.11,14007.6,233.46,3.891,0.162125
45TI,4.086,0.77,11088.0,184.8,3.08,0.12833333333333333
44TI,4.086,5.6,1893460000.0,31557666.666666668,525961.1111111111,21915.046296296296
44TI,4.091,11.1,1893460000.0,31557666.666666668,525961.1111111111,21915.046296296296
45TI,4.091,1.54,11088.0,184.8,3.08,0.12833333333333333
44TI,4.461,0.61,1893460000.0,31557666.666666668,525961.1111111111,21915.046296296296
45TI,4.461,0.166,11088.0,184.8,3.08,0.12833333333333333
44TI,4.461,1.2,1893460000.0,31557666.666666668,525961.1111111111,21915.046296296296
47V,4.505,0.197,1956.0,32.6,0.5433333333333333,0.02263888888888889
48V,4.505,2.9,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
49V,4.505,5.7,28512000.0,475200.0,7920.0,330.0
47V,4.511,0.394,1956.0,32.6,0.5433333333333333,0.02263888888888889
48V,4.511,5.8,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
49V,4.511,11.4,28512000.0,475200.0,7920.0,330.0
48V,4.932,0.326,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
48V,4.932,0.64,1380110.0,23001.833333333332,383.3638888888889,15.97349537037037
49V,4.932,0.64,28512000.0,475200.0,7920.0,330.0
49V,4.932,1.27,28512000.0,475200.0,7920.0,330.0
44TI,67.8679,93.0,1893460000.0,31557666.666666668,525961.1111111111,21915.046296296296
44TI,78.3234,96.4,1893460000.0,31557666.666666668,525961.1111111111,21915.046296296296
47SC,159.381,68.3,289370.9,4822.848333333333,80.38080555555557,3.3492002314814817
47V,159.8,0.107,1956.0,32.6,0.5433333333333333,0.02263888888888889
45K,174.28,74.0,1068.6,17.81,0.2968333333333333,0.012368055555555554
48SC,175.361,7.48,157212.0,2620.2,43.67,1.8195833333333333
43K,220.632,4.8,80280.0,1338.0,22.3,0.9291666666666667
44K,263.53,0.11,1327.8,22.13,0.36883333333333335,0.015368055555555555
42K,312.6,0.336,44496.0,741.6,12.36,0.515
51TI,320.076,93.1,345.6,5.760000000000001,0.096,0.004
44K,368.207,2.3,1327.8,22.13,0.36883333333333335,0.015368055555555555
43K,372.76,86.8,80280.0,1338.0,22.3,0.9291666666666667
43SC,372.9,22.5,14007.6,233.46,3.891,0.162125
44K,374.85,0.19,1327.8,22.13,0.36883333333333335,0.015368055555555555
43K,396.861,11.85,80280.0,1338.0,22.3,0.9291666666666667
43K,404.214,0.365,80280.0,1338.0,22.3,0.9291666666666667
45K,417.4,0.37,1068.6,17.81,0.2968333333333333,0.012368055555555554
47CA,489.23,5.9,391910.4,6531.84,108.864,4.5360000000000005
45K,492.5,1.26,1068.6,17.81,0.2968333333333333,0.012368055555555554
47V,511.0,193.09,1956.0,32.6,0.5433333333333333,0.02263888888888889
45TI,511.0,169.6,11088.0,184.8,3.08,0.12833333333333333
